AD,Compul,SW
0.044078035664584826,0.07524773969708028,0.013832672317164098
0.01848017257194362,0.11689907508736883,0.003021319086958324
0.17448572585092773,-0.026552455027755557,0.0030851815667049154
0.2276583861562985,-0.018992465632129297,0.01518911377654703
0.26715758100787124,-0.04311295765702687,0.008379172212230945
0.07349101396062624,0.080290124958515,0.027339051815088958
0.035924427491346556,0.0773076111384263,0.05003945651760833
-0.024911786743166037,0.05474758411524755,0.028220320062528958
-0.018710270679141557,0.0691997515583583,-0.001588767208270119
0.04201618019000248,0.09686002175652668,0.010630412609318041
-0.00591244921010326,0.05146105385269465,0.002321887820758782
-0.02397977559925988,0.05939988838218394,0.03144110617828057
-0.011553700873468029,0.09405086129988002,0.003863972370887266
-0.0040331234600183615,0.038899756345344205,0.021388883974609356
-0.05497802392603207,0.05673730851038094,0.019782296634975438
0.0013288108133771334,0.11468944257818005,0.0010813163423437462
0.005508460702469371,-0.020771360672195545,0.2051576475300134
-0.01973909954731612,0.01828529982728421,0.13121270719108574
0.018000473205507704,-0.005960318495079449,0.13380357638859017
0.016195241154061082,-0.033717114659844366,0.13812423375005503
-0.021727185078915544,-0.03130000810592803,0.13200136098918022
0.02020001736753977,0.005984451591365299,0.14919749568029536
0.0004595440429642911,-0.025795671789810057,0.15673540713961306
0.004193916643519313,0.1152397108067838,-0.009980310381142304
0.05724171737057768,0.1847689695183799,-0.0975042563820418
0.038886203996852144,0.10310178815753612,-0.051715396464727545
-0.026778767386801426,0.08476433980802277,0.01800616516746855
-0.02947439157189048,0.10383191334123806,0.015213010712597074
0.2989876881679917,-0.051719917253220546,-0.025111763094485158
-2.6511481864984563,-1.8241793542826228,-1.4889085397048039
